fire_us,sleeve_id,signal,condition_id,won,pnl_usd,family,version,policy,is_f7,symbol,tf,regime_w20_1m_voladaptive,markov_pass_w20_1m_voladaptive,regime_w20_5m_voladaptive,markov_pass_w20_5m_voladaptive,regime_w20_1m_fixed,markov_pass_w20_1m_fixed,regime_w20_5m_fixed,markov_pass_w20_5m_fixed
1779314522950873,poly_updown_sol_5m_momo_HOLD,DOWN,0x2670feabb9023ac50cbfe638dce34757d85308c6d842b4eab8fe208a6e329864,True,23.91347,momo,v1,HOLD,False,SOL,5m,0,True,1,False,1,False,1,False
1779314523512814,poly_updown_eth_15m_momo_SELL,DOWN,0x09b8c66f9b8bd3ac3c70575b3dbf5d009a06deb05a1ba150596efe90861b74c2,False,-25.1102,momo,v1,SELL,False,ETH,15m,0,True,0,True,1,False,1,False
1779314523517346,poly_updown_eth_15m_momo_HEDGE,DOWN,0x09b8c66f9b8bd3ac3c70575b3dbf5d009a06deb05a1ba150596efe90861b74c2,False,-25.1102,momo,v1,HEDGE,False,ETH,15m,0,True,0,True,1,False,1,False
1779314523517346,poly_updown_eth_15m_momo_HEDGE,DOWN,0x09b8c66f9b8bd3ac3c70575b3dbf5d009a06deb05a1ba150596efe90861b74c2,False,-25.1102,momo,v1,HEDGE,False,ETH,15m,0,True,0,True,1,False,1,False
1779314523526041,poly_updown_eth_15m_momo_HOLD,DOWN,0x09b8c66f9b8bd3ac3c70575b3dbf5d009a06deb05a1ba150596efe90861b74c2,False,-25.1102,momo,v1,HOLD,False,ETH,15m,0,True,0,True,1,False,1,False
1779314523526041,poly_updown_eth_15m_momo_HOLD,DOWN,0x09b8c66f9b8bd3ac3c70575b3dbf5d009a06deb05a1ba150596efe90861b74c2,False,-25.1102,momo,v1,HOLD,False,ETH,15m,0,True,0,True,1,False,1,False
1779314706021405,poly_updown_eth_5m_sniper,DOWN,0x991b6195aa563e620b1be534ca0f91726b00f1ccc180e754f5709cdc9fa07cd0,False,-25.0,sniper,,,False,ETH,5m,0,True,0,True,1,False,1,False
1779314706027167,poly_updown_eth_5m_sniper_DOWN_INV,UP,0x991b6195aa563e620b1be534ca0f91726b00f1ccc180e754f5709cdc9fa07cd0,True,20.5146242,sniper_DOWN_INV,,,False,ETH,5m,0,False,0,False,1,False,1,False
1779315011197873,poly_updown_eth_5m_sniper,DOWN,0xba21385942f9d97efaa16eca1cf4c0db98d194eb58428379d478c94155690ede,True,26.130181,sniper,,,False,ETH,5m,0,True,0,True,0,True,1,False
1779315011197873,poly_updown_eth_5m_sniper,DOWN,0xba21385942f9d97efaa16eca1cf4c0db98d194eb58428379d478c94155690ede,True,26.130181,sniper,,,False,ETH,5m,0,True,0,True,0,True,1,False
1779315011239682,poly_updown_eth_5m_sniper_DOWN_INV,UP,0xba21385942f9d97efaa16eca1cf4c0db98d194eb58428379d478c94155690ede,False,-24.999975,sniper_DOWN_INV,,,False,ETH,5m,0,False,0,False,0,False,1,False
1779315011239682,poly_updown_eth_5m_sniper_DOWN_INV,UP,0xba21385942f9d97efaa16eca1cf4c0db98d194eb58428379d478c94155690ede,False,-24.999975,sniper_DOWN_INV,,,False,ETH,5m,0,False,0,False,0,False,1,False
1779315011443476,poly_updown_eth_5m_sniper,DOWN,0xba21385942f9d97efaa16eca1cf4c0db98d194eb58428379d478c94155690ede,True,26.130181,sniper,,,False,ETH,5m,0,True,0,True,0,True,1,False
1779315011443476,poly_updown_eth_5m_sniper,DOWN,0xba21385942f9d97efaa16eca1cf4c0db98d194eb58428379d478c94155690ede,True,26.130181,sniper,,,False,ETH,5m,0,True,0,True,0,True,1,False
