sleeve_id,gate,split,n,wr,dpt,sum,dpt_ci95_lo,dpt_ci95_hi
06_eth_5m_s15_hybrid_v1,g_as_stable_AND_hy_with,lockbox,229,0.8296943231441049,-0.014200731811097293,-3.25196758474128,-1.675574597557623,1.6495734723981255
07_btc_5m_s15_hybrid_v1,none,train,4207,0.7653910149750416,0.465070840106081,1956.5530243262829,-0.3716685821205191,1.2968445069769683
07_btc_5m_s15_hybrid_v1,none,val,604,0.8460264900662252,1.0987236299220193,663.6290724728997,-0.12489530427639871,2.3961807531287898
07_btc_5m_s15_hybrid_v1,none,lockbox,1878,0.739084132055378,2.0731265503735545,3893.3316616015354,0.6684953131234788,3.774726140493937
07_btc_5m_s15_hybrid_v1,g_as_stable,train,825,0.8787878787878788,2.42621995502697,2001.6314628972505,0.9053864888717356,5.089197936286767
07_btc_5m_s15_hybrid_v1,g_as_stable,val,446,0.8542600896860987,0.6933141774951895,309.2181231628545,-0.5983912153242422,1.8216131591015605
07_btc_5m_s15_hybrid_v1,g_as_stable,lockbox,301,0.7873754152823921,0.3807046794497175,114.59210851436495,-1.403499126756864,2.2370558479121385
07_btc_5m_s15_hybrid_v1,g_as_norm_lt_05,train,556,0.8920863309352518,1.4042835098859,780.7816314965603,0.3312348966625569,2.4184848666218146
07_btc_5m_s15_hybrid_v1,g_as_norm_lt_05,val,288,0.8888888888888888,1.4453063751191122,416.24823603430434,0.08402993036988463,2.9867760959099763
07_btc_5m_s15_hybrid_v1,g_as_norm_lt_05,lockbox,233,0.8025751072961373,1.2451186426130427,290.112643728839,-0.8248196177762315,3.81552568981761
07_btc_5m_s15_hybrid_v1,g_as_unstable_skip,train,972,0.8755144032921811,3.717441044625353,3613.3526953758433,0.9683635057851848,7.061255240339565
07_btc_5m_s15_hybrid_v1,g_as_unstable_skip,val,547,0.8555758683729433,0.9736583784774234,532.5911330271506,-0.42630030224131843,2.2117886310437482
07_btc_5m_s15_hybrid_v1,g_as_unstable_skip,lockbox,342,0.7865497076023392,0.30972583889901906,105.92623690346451,-1.452330714745495,1.9020415924933567
07_btc_5m_s15_hybrid_v1,g_as_norm_lt_15,train,928,0.875,3.698954332157677,3432.629620242324,0.8716980866225731,7.149867698407677
07_btc_5m_s15_hybrid_v1,g_as_norm_lt_15,val,509,0.8605108055009824,0.8764055979521489,446.09044935764376,-0.23395497174488514,1.8506907337684
07_btc_5m_s15_hybrid_v1,g_as_norm_lt_15,lockbox,329,0.790273556231003,0.49953879688258046,164.34826417436898,-1.2801884419902652,2.7201918176820095
07_btc_5m_s15_hybrid_v1,g_hy_cb_with_dir,train,3168,0.7834595959595959,0.08946514212827135,283.42557026236364,-0.5495143644250324,0.641031136431219
