combo,symbol,n_trades,win_rate,expectancy,profit_factor,sharpe,max_dd,buy_hold_x,final_eq_x,outperform,median_hold_h,calmar
X_btc_extreme__S_zmag_cap2__E_24h__R_3loss_pause,ETHUSDT,26,0.5769230769230769,0.02160668709288645,4.213739772442127,1.1379883367779262,-0.07589078743051819,1.200688988338978,1.6879617790941916,1.405827650197161,24.0,2.6573976252540965
X_btc_extreme__S_zmag_cap2__E_24h__R_dd_pause,ETHUSDT,30,0.5666666666666667,0.017549811984706908,3.336868103568458,1.0528488039374693,-0.10684769038611769,1.200688988338978,1.6278972320896945,1.3558025832665563,24.0,1.7453797226548724
X_btc_extreme__S_zmag_cap2__E_volscaled__R_none,ETHUSDT,122,0.5327868852459017,0.0028917858515880228,1.1983013984583246,0.3923913508306002,-0.4860200029649866,1.200688988338978,1.2394411357591062,1.0322749253107897,20.0,0.16097763793832298
X_btc_extreme__S_zmag_cap2__E_volscaled__R_3loss_pause,ETHUSDT,32,0.59375,0.012961502292330115,2.441271405799041,0.8473528952261292,-0.15340363620357975,1.200688988338978,1.4567788683508256,1.213285773834005,20.0,0.9200403244999344
X_btc_extreme__S_zmag_cap2__E_volscaled__R_dd_pause,ETHUSDT,27,0.6296296296296297,0.017018048752865497,3.039594573132111,0.9512874263524975,-0.11129878039173144,1.200688988338978,1.524969681654334,1.2700788434513446,21.0,1.4340187552355048
X_btc_extreme__S_zmag_cap2__E_tp_3__R_none,ETHUSDT,129,0.5426356589147286,0.0014003999290072974,1.0944345189142506,0.23364290305388502,-0.4420929625739777,1.200688988338978,1.0816834769846875,0.9008856477322061,24.0,0.06319216527201534
X_btc_extreme__S_zmag_cap2__E_tp_3__R_3loss_pause,ETHUSDT,32,0.53125,0.010241677377891813,2.298492644011628,0.9619310469177522,-0.07589078743051811,1.200688988338978,1.362099204218492,1.1344313285514573,24.0,1.5093006590476579
X_btc_extreme__S_zmag_cap2__E_tp_3__R_dd_pause,ETHUSDT,36,0.5277777777777778,0.008123726978297156,1.965543154249974,0.8359017226884684,-0.10684769038611741,1.200688988338978,1.3136301732902722,1.094063646829589,24.0,0.9402227571928223
X_btc_extreme__S_zmag_cap2__E_tp_5__R_none,ETHUSDT,118,0.5169491525423728,0.002138437654176622,1.139638696912616,0.32939151774479,-0.4160989589909197,1.200688988338978,1.158355867913569,0.9647426429020789,24.0,0.12722801272657155
X_btc_extreme__S_zmag_cap2__E_tp_5__R_3loss_pause,ETHUSDT,29,0.5517241379310345,0.013359585291336736,2.846020817391531,1.0690120915922865,-0.07589078743051815,1.200688988338978,1.4438216454688475,1.2024942841078412,24.0,1.8126765114955516
