fid,slug,outcome,ts,price,size,bid0,ask0,snap_us,age_s,cls,ticks_vs_bid
619,btc-updown-15m-1782959400,Down,1782959642,0.34,9.23,0.36,0.37,1782959641594000.0,0.406,MAKER_at_bid,-2.0
620,btc-updown-15m-1782959400,Down,1782959615,0.3,16.0,0.3,0.31,1782959613030000.0,1.97,MAKER_at_bid,0.0
621,btc-updown-15m-1782959400,Down,1782959609,0.3,10.13,0.27,0.29,1782959607905000.0,1.095,TAKER_at_ask,3.0
622,sol-updown-15m-1782959400,Down,1782959599,0.25,12.0,0.24,0.29,1782959596607000.0,2.393,INSIDE_spread,1.0
623,eth-updown-15m-1782959400,Up,1782959569,0.76,2.6,0.79,0.8,1782959568541000.0,0.459,MAKER_at_bid,-3.0
624,btc-updown-15m-1782959400,Up,1782959563,0.75,8.0,0.76,0.77,1782959560910000.0,2.09,MAKER_at_bid,-1.0
625,sol-updown-15m-1782959400,Up,1782959540,0.74,15.0,0.73,0.74,1782959537572000.0,2.428,TAKER_at_ask,1.0
626,eth-updown-15m-1782959400,Up,1782959537,0.67,19.6,0.68,0.7,1782959536444000.0,0.556,MAKER_at_bid,-1.0
627,eth-updown-15m-1782959400,Up,1782959536,0.66,9.6,0.68,0.7,1782959535726000.0,0.274,MAKER_at_bid,-2.0
628,eth-updown-15m-1782959400,Up,1782959536,0.6599999958,47.71212,0.68,0.7,1782959535726000.0,0.274,MAKER_at_bid,-2.0
629,btc-updown-15m-1782959400,Up,1782959534,0.72,28.0,0.72,0.73,1782959533805000.0,0.195,MAKER_at_bid,0.0
630,btc-updown-15m-1782959400,Up,1782959531,0.67,30.8,0.67,0.68,1782959530787000.0,0.213,MAKER_at_bid,0.0
631,btc-updown-15m-1782959400,Up,1782959525,0.5978308536,12.77,0.61,0.62,1782959524020000.0,0.98,MAKER_at_bid,-1.0
632,sol-updown-15m-1782959400,Down,1782959506,0.445,10.0,0.43,0.46,1782959503895000.0,2.105,INSIDE_spread,2.0
633,eth-updown-15m-1782959400,Down,1782959506,0.58,14.0,0.57,0.58,1782959504961000.0,1.039,TAKER_at_ask,1.0
634,btc-updown-15m-1782959400,Down,1782959504,0.49,5.0,0.51,0.52,1782959502560000.0,1.44,MAKER_at_bid,-2.0
635,eth-updown-15m-1782959400,Down,1782959501,0.54,18.0,0.53,0.54,1782959498561000.0,2.439,TAKER_at_ask,1.0
636,btc-updown-15m-1782959400,Down,1782959501,0.48,14.0,0.47,0.48,1782959498528000.0,2.472,TAKER_at_ask,1.0
637,btc-updown-15m-1782959400,Up,1782959479,0.62,7.02,0.65,0.66,1782959478379000.0,0.621,MAKER_at_bid,-3.0
638,eth-updown-15m-1782959400,Up,1782959474,0.58,6.61,0.59,0.6,1782959471814000.0,2.186,MAKER_at_bid,-1.0
639,eth-updown-15m-1782959400,Up,1782959470,0.58,23.0,0.57,0.58,1782959469343000.0,0.657,TAKER_at_ask,1.0
640,btc-updown-15m-1782959400,Up,1782959468,0.61,10.0,0.61,0.62,1782959467525000.0,0.475,MAKER_at_bid,0.0
641,sol-updown-15m-1782959400,Up,1782959465,0.6375849057,33.125,0.63,0.64,1782959464228000.0,0.772,INSIDE_spread,1.0
650,eth-updown-15m-1782958500,Up,1782959335,0.96,23.0,0.95,0.96,1782959328918000.0,6.082,TAKER_at_ask,1.0
651,eth-updown-15m-1782958500,Up,1782959330,0.96,23.0,0.95,0.96,1782959328918000.0,1.082,TAKER_at_ask,1.0
652,eth-updown-15m-1782958500,Up,1782959330,0.96,36.0,0.95,0.96,1782959328918000.0,1.082,TAKER_at_ask,1.0
653,btc-updown-15m-1782958500,Up,1782959312,0.97,42.0,0.98,0.99,1782959311630000.0,0.37,MAKER_at_bid,-1.0
654,btc-updown-15m-1782958500,Up,1782959305,0.95,61.0,0.96,0.97,1782959304899000.0,0.101,MAKER_at_bid,-1.0
655,btc-updown-15m-1782958500,Up,1782959305,0.95,31.0,0.96,0.97,1782959304899000.0,0.101,MAKER_at_bid,-1.0
656,btc-updown-15m-1782958500,Up,1782959303,0.95,91.0,0.94,0.95,1782959302904000.0,0.096,TAKER_at_ask,1.0
657,eth-updown-15m-1782958500,Up,1782959299,0.81,1.79,0.8,0.84,1782959297102000.0,1.898,INSIDE_spread,1.0
658,btc-updown-15m-1782958500,Up,1782959297,0.95,83.0,0.94,0.95,1782959295416000.0,1.584,TAKER_at_ask,1.0
659,btc-updown-15m-1782958500,Up,1782959296,0.95,24.0,0.94,0.95,1782959295416000.0,0.584,TAKER_at_ask,1.0
660,btc-updown-15m-1782958500,Up,1782959282,0.96,39.0,0.95,0.96,1782959281942000.0,0.058,TAKER_at_ask,1.0
661,btc-updown-15m-1782958500,Up,1782959249,0.97,27.0,0.96,0.97,1782959247978000.0,1.022,TAKER_at_ask,1.0
667,btc-updown-15m-1782958500,Up,1782959210,0.92,20.0,0.86,0.87,1782959202678000.0,7.322,TAKER_at_ask,6.0
668,eth-updown-15m-1782958500,Up,1782959210,0.77,16.0,0.68,0.69,1782959201962000.0,8.038,TAKER_at_ask,9.0
669,eth-updown-15m-1782958500,Up,1782959210,0.74,5.18,0.68,0.69,1782959201962000.0,8.038,TAKER_at_ask,6.0
670,eth-updown-15m-1782958500,Up,1782959206,0.73,5.0,0.68,0.69,1782959201962000.0,4.038,TAKER_at_ask,5.0
671,eth-updown-15m-1782958500,Down,1782959204,0.32,14.0,0.31,0.32,1782959201962000.0,2.038,TAKER_at_ask,1.0
672,btc-updown-15m-1782958500,Up,1782959188,0.91,30.0,0.85,0.87,1782959187856000.0,0.144,TAKER_at_ask,6.0
673,btc-updown-15m-1782958500,Up,1782959179,0.89,19.0,0.88,0.9,1782959178993000.0,0.007,INSIDE_spread,1.0
674,btc-updown-15m-1782958500,Up,1782959176,0.86,18.0,0.88,0.89,1782959175536000.0,0.464,MAKER_at_bid,-2.0
678,btc-updown-15m-1782958500,Up,1782959128,0.84,2.0,0.84,0.85,1782959127038000.0,0.962,MAKER_at_bid,0.0
679,eth-updown-15m-1782958500,Down,1782959122,0.25,22.0,0.25,0.26,1782959120876000.0,1.124,MAKER_at_bid,0.0
