fid,slug,outcome,ts,price,size
408,btc-updown-15m-1783955700,Up,1783956439,0.67,30.0
409,btc-updown-15m-1783955700,Up,1783956437,0.67,30.0
410,btc-updown-15m-1783955700,Up,1783956430,0.64,30.0
411,btc-updown-15m-1783955700,Up,1783956430,0.64,30.0
412,btc-updown-15m-1783955700,Down,1783956356,0.23,12.0
413,btc-updown-15m-1783955700,Down,1783956334,0.1968233799,15.74
414,btc-updown-15m-1783955700,Down,1783956329,0.23,1.56
415,btc-updown-15m-1783955700,Up,1783956323,0.78,30.0
416,btc-updown-15m-1783955700,Down,1783956317,0.12,30.0
417,btc-updown-15m-1783955700,Down,1783956317,0.12,30.0
418,btc-updown-15m-1783955700,Up,1783956308,0.8728885038,17.31
419,btc-updown-15m-1783955700,Up,1783956308,0.8699999964,30.689653
420,btc-updown-15m-1783955700,Up,1783956265,0.83,6.0
421,btc-updown-15m-1783955700,Down,1783956229,0.14,12.0
422,btc-updown-15m-1783955700,Down,1783956206,0.2,16.21
423,btc-updown-15m-1783955700,Up,1783956043,0.71,12.0
424,btc-updown-15m-1783955700,Down,1783955930,0.15,30.0
425,btc-updown-15m-1783955700,Up,1783955905,0.86,30.0
426,btc-updown-15m-1783955700,Up,1783955873,0.7,30.0
427,btc-updown-15m-1783955700,Up,1783955830,0.62,30.0
428,btc-updown-15m-1783955700,Down,1783955738,0.5,30.0
429,btc-updown-15m-1783954800,Up,1783955687,0.81,7.58
430,btc-updown-15m-1783954800,Up,1783955683,0.75,0.84
431,btc-updown-15m-1783954800,Up,1783955683,0.77,20.0
432,btc-updown-15m-1783954800,Up,1783955683,0.76,3.73
433,btc-updown-15m-1783954800,Up,1783955681,0.73,10.0
434,btc-updown-15m-1783954800,Up,1783955672,0.7,30.0
435,btc-updown-15m-1783954800,Up,1783955672,0.7,30.0
436,btc-updown-15m-1783954800,Up,1783955669,0.7,30.0
437,btc-updown-15m-1783954800,Up,1783955638,0.7,30.0
438,btc-updown-15m-1783954800,Up,1783955633,0.68,6.0
439,btc-updown-15m-1783954800,Down,1783955620,0.29,30.0
440,btc-updown-15m-1783954800,Down,1783955618,0.28,30.0
441,btc-updown-15m-1783954800,Up,1783955596,0.32,30.0
442,btc-updown-15m-1783954800,Up,1783955596,0.32,30.0
443,btc-updown-15m-1783954800,Down,1783955584,0.6,30.0
444,btc-updown-15m-1783954800,Up,1783955555,0.41,30.0
445,btc-updown-15m-1783954800,Up,1783955513,0.61,30.0
446,btc-updown-15m-1783954800,Up,1783955513,0.61,30.0
447,btc-updown-15m-1783954800,Up,1783955447,0.55,30.0
448,btc-updown-15m-1783954800,Up,1783955446,0.55,15.36
449,btc-updown-15m-1783954800,Up,1783955440,0.5,33.0
450,btc-updown-15m-1783954800,Down,1783955434,0.47,30.0
451,btc-updown-15m-1783954800,Up,1783955366,0.24,29.58
452,btc-updown-15m-1783954800,Down,1783955341,0.75,30.0
453,btc-updown-5m-1783954800,Down,1783954951,0.8,20.0
454,btc-updown-5m-1783954800,Down,1783954942,0.72,7.0
455,btc-updown-5m-1783954800,Up,1783954879,0.69,19.47
456,btc-updown-5m-1783954200,Up,1783954382,0.06,20.0
457,btc-updown-5m-1783954200,Down,1783954271,0.9,20.0
458,btc-updown-5m-1783954200,Down,1783954268,0.86,1.4
