slug,fire_us,slot_start_us,outcome,vwap_down,shares,won_down,pnl_down,book_lag_s,ts,date
btc-updown-15m-1778153400,1778152620000000,1778153400000000,Up,0.5,50.0,0,-25.0,22.018,2026-05-07 11:17:00+00:00,2026-05-07
btc-updown-15m-1778154300,1778153520000000,1778154300000000,Down,0.5,50.0,1,24.5,69.555,2026-05-07 11:32:00+00:00,2026-05-07
btc-updown-15m-1778220000,1778219220000000,1778220000000000,Down,0.5,50.0,1,24.5,67.952,2026-05-08 05:47:00+00:00,2026-05-08
btc-updown-15m-1778221800,1778221020000000,1778221800000000,Down,0.49846274236099725,50.15419985370636,1,24.65111585663223,52.01,2026-05-08 06:17:00+00:00,2026-05-08
btc-updown-15m-1778223600,1778222820000000,1778223600000000,Down,0.49647700259483624,50.35479965705872,1,24.847703663917546,25.37,2026-05-08 06:47:00+00:00,2026-05-08
btc-updown-15m-1778225400,1778224620000000,1778225400000000,Up,0.5,50.0,0,-25.0,2.957,2026-05-08 07:17:00+00:00,2026-05-08
btc-updown-15m-1778227200,1778226420000000,1778227200000000,Up,0.5,50.0,0,-25.0,61.563,2026-05-08 07:47:00+00:00,2026-05-08
btc-updown-15m-1778229000,1778228220000000,1778229000000000,Up,0.5199999809265137,48.07692484037417,0,-25.0,3.13,2026-05-08 08:17:00+00:00,2026-05-08
btc-updown-15m-1778229900,1778229120000000,1778229900000000,Up,0.5199999809265137,48.07692484037417,0,-25.0,11.996,2026-05-08 08:32:00+00:00,2026-05-08
btc-updown-15m-1778231700,1778230920000000,1778231700000000,Down,0.5,50.0,1,24.5,117.406,2026-05-08 09:02:00+00:00,2026-05-08
btc-updown-15m-1778232600,1778231820000000,1778232600000000,Down,0.5456349365910647,45.81818047830884,1,20.401816868742664,5.213,2026-05-08 09:17:00+00:00,2026-05-08
btc-updown-15m-1778233500,1778232720000000,1778233500000000,Up,0.5199999809265137,48.07692484037417,0,-25.0,93.216,2026-05-08 09:32:00+00:00,2026-05-08
btc-updown-15m-1778235300,1778234520000000,1778235300000000,Up,0.5,50.0,0,-25.0,34.601,2026-05-08 10:02:00+00:00,2026-05-08
btc-updown-15m-1778236200,1778235420000000,1778236200000000,Up,0.5,50.0,0,-25.0,100.15,2026-05-08 10:17:00+00:00,2026-05-08
btc-updown-15m-1778237100,1778236320000000,1778237100000000,Up,0.5,50.0,0,-25.0,46.773,2026-05-08 10:32:00+00:00,2026-05-08
btc-updown-15m-1778238000,1778237220000000,1778238000000000,Up,0.5003590812465681,49.96411764470492,0,-24.999999999999996,34.721,2026-05-08 10:47:00+00:00,2026-05-08
btc-updown-15m-1778238900,1778238120000000,1778238900000000,Up,0.5177013888730327,48.290386190428585,0,-25.0,42.563,2026-05-08 11:02:00+00:00,2026-05-08
btc-updown-15m-1778239800,1778239020000000,1778239800000000,Down,0.5,50.0,1,24.5,102.286,2026-05-08 11:17:00+00:00,2026-05-08
btc-updown-15m-1778240700,1778239920000000,1778240700000000,Up,0.5199999809265137,48.07692484037417,0,-25.0,14.489,2026-05-08 11:32:00+00:00,2026-05-08
btc-updown-15m-1778479200,1778478420000000,1778479200000000,Up,0.5,50.0,0,-25.0,96.492,2026-05-11 05:47:00+00:00,2026-05-11
btc-updown-15m-1778480100,1778479320000000,1778480100000000,Up,0.514812732669114,48.56134748335425,0,-25.0,95.304,2026-05-11 06:02:00+00:00,2026-05-11
btc-updown-15m-1778481000,1778480220000000,1778481000000000,Down,0.5155088717770627,48.495770623345386,1,23.025855210878476,100.474,2026-05-11 06:17:00+00:00,2026-05-11
btc-updown-15m-1778481900,1778481120000000,1778481900000000,Up,0.5154659468293907,48.49980906357432,0,-25.000000000000004,44.88,2026-05-11 06:32:00+00:00,2026-05-11
btc-updown-15m-1778482800,1778482020000000,1778482800000000,Down,0.5051905808741218,49.48627497516475,1,23.996549475661457,38.997,2026-05-11 06:47:00+00:00,2026-05-11
btc-updown-15m-1778483700,1778482920000000,1778483700000000,Down,0.5,50.0,1,24.5,56.863,2026-05-11 07:02:00+00:00,2026-05-11
btc-updown-15m-1778484600,1778483820000000,1778484600000000,Down,0.5,50.0,1,24.5,14.843,2026-05-11 07:17:00+00:00,2026-05-11
btc-updown-15m-1778485500,1778484720000000,1778485500000000,Up,0.5,50.0,0,-25.0,67.277,2026-05-11 07:32:00+00:00,2026-05-11
btc-updown-15m-1778486400,1778485620000000,1778486400000000,Up,0.5099999904632568,49.01960875977925,0,-25.0,19.301,2026-05-11 07:47:00+00:00,2026-05-11
btc-updown-15m-1778487300,1778486520000000,1778487300000000,Down,0.5012028855908109,49.8800001331404,1,24.38240013047759,51.899,2026-05-11 08:02:00+00:00,2026-05-11
btc-updown-15m-1778488200,1778487420000000,1778488200000000,Up,0.5099999904632568,49.01960875977925,0,-25.0,51.994,2026-05-11 08:17:00+00:00,2026-05-11
btc-updown-15m-1778489100,1778488320000000,1778489100000000,Down,0.5,50.0,1,24.5,73.072,2026-05-11 08:32:00+00:00,2026-05-11
btc-updown-15m-1778490000,1778489220000000,1778490000000000,Up,0.5099999904632568,49.01960875977925,0,-25.0,1.552,2026-05-11 08:47:00+00:00,2026-05-11
btc-updown-15m-1778490900,1778490120000000,1778490900000000,Down,0.5098039124022075,49.03846242018709,1,23.557693171783345,103.186,2026-05-11 09:02:00+00:00,2026-05-11
btc-updown-15m-1778491800,1778491020000000,1778491800000000,Up,0.5099999904632568,49.01960875977925,0,-25.0,98.361,2026-05-11 09:17:00+00:00,2026-05-11
btc-updown-15m-1778492700,1778491920000000,1778492700000000,Up,0.5138339790581787,48.65384738826192,0,-25.0,104.891,2026-05-11 09:32:00+00:00,2026-05-11
btc-updown-15m-1778493600,1778492820000000,1778493600000000,Up,0.5141713401419128,48.62192434354651,0,-25.000000000000004,38.981,2026-05-11 09:47:00+00:00,2026-05-11
btc-updown-15m-1778494500,1778493720000000,1778494500000000,Up,0.5150350477228115,48.54038596117994,0,-25.0,102.36,2026-05-11 10:02:00+00:00,2026-05-11
btc-updown-15m-1778495400,1778494620000000,1778495400000000,Down,0.5199999809265137,48.07692484037417,1,22.615386343566684,70.654,2026-05-11 10:17:00+00:00,2026-05-11
btc-updown-15m-1778496300,1778495520000000,1778496300000000,Down,0.5267719162299329,47.4588702050085,1,22.009692800908336,101.051,2026-05-11 10:32:00+00:00,2026-05-11
btc-updown-15m-1778497200,1778496420000000,1778497200000000,Up,0.5199999809265137,48.07692484037417,0,-25.0,100.57,2026-05-11 10:47:00+00:00,2026-05-11
btc-updown-15m-1778498100,1778497320000000,1778498100000000,Up,0.49000000953674316,51.02040717026833,0,-25.0,94.05,2026-05-11 11:02:00+00:00,2026-05-11
