tag,fire_us,pnl,won,vwap,slug
cloud_ribbon_v6,1780132500000000,1.8464444444444446,1,0.72,eth-updown-5m-1780132200
v6c3_v7,1780132500000000,1.8464444444444446,1,0.72,eth-updown-5m-1780132200
v6c3_v7,1780132800000000,-5.0,0,0.53,eth-updown-5m-1780132500
cloud_ribbon_v6,1780132800000000,-5.0,0,0.53,eth-updown-5m-1780132500
cloud_vwap_v7,1780132800000000,-5.0,0,0.53,eth-updown-5m-1780132500
v6c3_v7,1780133400000000,2.6865,1,0.64,eth-updown-5m-1780133100
cloud_ribbon_v6,1780133400000000,2.6865,1,0.64,eth-updown-5m-1780133100
cloud_vwap_v7,1780133400000000,2.6865,1,0.64,eth-updown-5m-1780133100
v8_grandparent,1780134000000000,-5.0,0,0.47430830039525684,eth-updown-5m-1780133700
v8_grandparent,1780134300000000,1.4130064935064934,1,0.77,eth-updown-5m-1780134000
cloud_vwap_v7,1780134600000000,2.200940089915399,1,0.6838453914767096,eth-updown-5m-1780134300
v6c3_v7,1780134600000000,2.200940089915399,1,0.6838453914767096,eth-updown-5m-1780134300
cloud_ribbon_v6,1780134600000000,2.200940089915399,1,0.6838453914767096,eth-updown-5m-1780134300
cloud_vwap_v7,1780135500000000,3.3310762711864412,1,0.59,eth-updown-5m-1780135200
cloud_ribbon_v6,1780141500000000,1.4130064935064934,1,0.77,eth-updown-5m-1780141200
v6c3_v7,1780141500000000,1.4130064935064934,1,0.77,eth-updown-5m-1780141200
cloud_vwap_v7,1780141500000000,1.4130064935064934,1,0.77,eth-updown-5m-1780141200
v8_grandparent,1780141500000000,1.4130064935064934,1,0.77,eth-updown-5m-1780141200
cloud_vwap_v7,1780142100000000,-5.0,0,0.73,eth-updown-5m-1780141800
v6c3_v7,1780142100000000,-5.0,0,0.73,eth-updown-5m-1780141800
cloud_ribbon_v6,1780142100000000,-5.0,0,0.73,eth-updown-5m-1780141800
v8_grandparent,1780146000000000,4.447384615384615,1,0.52,eth-updown-5m-1780145700
cloud_vwap_v7,1780146000000000,4.447384615384615,1,0.52,eth-updown-5m-1780145700
v6c3_v7,1780146000000000,4.447384615384615,1,0.52,eth-updown-5m-1780145700
cloud_ribbon_v6,1780146000000000,4.447384615384615,1,0.52,eth-updown-5m-1780145700
cloud_vwap_v7,1780147800000000,2.931516129032258,1,0.62,eth-updown-5m-1780147500
v6c3_v7,1780147800000000,2.931516129032258,1,0.62,eth-updown-5m-1780147500
cloud_ribbon_v6,1780147800000000,2.931516129032258,1,0.62,eth-updown-5m-1780147500
v6c3_v7,1780148100000000,2.115833863061688,1,0.6921783842578859,eth-updown-5m-1780147800
cloud_ribbon_v6,1780148100000000,2.115833863061688,1,0.6921783842578859,eth-updown-5m-1780147800
cloud_vwap_v7,1780148100000000,2.115833863061688,1,0.6921783842578859,eth-updown-5m-1780147800
v6c3_v7,1780148400000000,1.7515716861749235,1,0.7303592577970786,eth-updown-5m-1780148100
