label,n_trades,sharpe,cagr,max_dd,calmar,win_rate,final_equity,buy_hold_x,final_eq_x,outperform,entry_signals_total,symbol,entry,exit,risk_filter
A2_top_lsr__TP8_SL2_TR5_H96__R_none,198,0.509,0.1284,-0.4506,0.285,0.303,14363.08,3.744815148782687,1.436308,0.38354576739706236,1897,SOLUSDT,A2_top_lsr,TP8_SL2_TR5_H96,R_none
A2_top_lsr__TP8_SL2_TR5_H96__R_3loss_pause,133,0.419,0.0856,-0.3194,0.268,0.301,12791.09,3.744815148782687,1.279109,0.34156799446183483,1229,SOLUSDT,A2_top_lsr,TP8_SL2_TR5_H96,R_3loss_pause
A2_top_lsr__TP6_SL2p5_TR4_H48__R_none,240,0.379,0.072,-0.3655,0.197,0.35,12317.8,3.744815148782687,1.2317799999999999,0.3289294534071755,1897,SOLUSDT,A2_top_lsr,TP6_SL2p5_TR4_H48,R_none
A2_top_lsr__TP6_SL2p5_TR4_H48__R_3loss_pause,179,0.232,0.0267,-0.2702,0.099,0.341,10821.99,3.744815148782687,1.082199,0.288985959788105,1375,SOLUSDT,A2_top_lsr,TP6_SL2p5_TR4_H48,R_3loss_pause
A3_brigalS__TP5_SL2_TR3p5_H72__R_none,296,-0.066,-0.0895,-0.5016,-0.179,0.331,7548.46,3.744815148782687,0.754846,0.20157096412232123,2715,SOLUSDT,A3_brigalS,TP5_SL2_TR3p5_H72,R_none
A3_brigalS__TP5_SL2_TR3p5_H72__R_3loss_pause,214,0.184,0.0076,-0.3562,0.021,0.327,10228.85,3.744815148782687,1.022885,0.27314699373946544,1927,SOLUSDT,A3_brigalS,TP5_SL2_TR3p5_H72,R_3loss_pause
A3_brigalS__TP8_SL2_TR5_H96__R_none,205,0.511,0.1301,-0.3714,0.35,0.307,14428.6,3.744815148782687,1.44286,0.3852953864676138,2715,SOLUSDT,A3_brigalS,TP8_SL2_TR5_H96,R_none
A3_brigalS__TP8_SL2_TR5_H96__R_3loss_pause,142,0.42,0.0871,-0.3369,0.258,0.296,12844.57,3.744815148782687,1.284457,0.34299610233566097,1854,SOLUSDT,A3_brigalS,TP8_SL2_TR5_H96,R_3loss_pause
A3_brigalS__TP6_SL2p5_TR4_H48__R_none,247,0.494,0.1114,-0.3741,0.298,0.336,13724.75,3.744815148782687,1.372475,0.3665000662171924,2715,SOLUSDT,A3_brigalS,TP6_SL2p5_TR4_H48,R_none
A3_brigalS__TP6_SL2p5_TR4_H48__R_3loss_pause,180,0.099,-0.0096,-0.2989,-0.032,0.328,9715.76,3.744815148782687,0.971576,0.2594456498916446,1883,SOLUSDT,A3_brigalS,TP6_SL2p5_TR4_H48,R_3loss_pause
