sleeve,family,arm,coin,entry_ts,exit_ts,direction,entry_price,exit_price,bars_held,reason,ret_pct,paper_pnl_usd,status
VP_BTC,VP,OBSERVE,BTC,2026-05-31T16:00:00+00:00,2026-06-01T08:00:00+00:00,LONG,73654.0896,72399.515061,4,SL,-3.214,-8.04,CLOSED
STF_XRP,STF,DEPLOY,XRP,2026-06-01T16:00:00+00:00,2026-06-05T04:00:00+00:00,SHORT,1.281016,1.096381,21,TP,14.898,37.25,CLOSED
VP_ETH,VP,OBSERVE,ETH,2026-06-01T20:00:00+00:00,2026-06-02T12:00:00+00:00,LONG,2004.80126,1950.678957,4,SL,-3.133,-7.83,CLOSED
VP_SOL,VP,OBSERVE,SOL,2026-06-01T20:00:00+00:00,2026-06-02T12:00:00+00:00,LONG,81.208355,78.613623,4,SL,-3.112,-7.78,CLOSED
VP_SUI,VP,OBSERVE,SUI,2026-06-01T20:00:00+00:00,2026-06-02T12:00:00+00:00,LONG,0.878523,0.83192,4,SL,-3.066,-7.67,CLOSED
VP_AVAX,VP,OBSERVE,AVAX,2026-06-02T04:00:00+00:00,2026-06-02T12:00:00+00:00,LONG,8.888666,8.539085,2,SL,-3.09,-7.73,CLOSED
VP_DOGE,VP,OBSERVE,DOGE,2026-06-08T08:00:00+00:00,2026-06-18T04:00:00+00:00,LONG,0.085605,0.083898,59,SL,-1.086,-2.72,CLOSED
VP_BNB,VP,OBSERVE,BNB,2026-06-10T16:00:00+00:00,2026-06-18T04:00:00+00:00,LONG,596.999046,587.63559,45,SL,-1.312,-3.28,CLOSED
VP_AVAX,VP,OBSERVE,AVAX,2026-06-11T00:00:00+00:00,2026-06-18T16:00:00+00:00,LONG,6.379013,6.51665,46,SL,1.285,3.21,CLOSED
VP_SUI,VP,OBSERVE,SUI,2026-06-11T20:00:00+00:00,2026-06-15T08:00:00+00:00,SHORT,0.763271,0.808562,21,SL,-3.062,-7.65,CLOSED
VP_ADA,VP,OBSERVE,ADA,2026-06-12T08:00:00+00:00,2026-06-14T20:00:00+00:00,SHORT,0.169009,0.179289,15,SL,-3.061,-7.65,CLOSED
VP_XRP,VP,OBSERVE,XRP,2026-06-13T16:00:00+00:00,2026-06-15T08:00:00+00:00,SHORT,1.155753,1.195033,10,SL,-3.109,-7.77,CLOSED
VP_LINK,VP,OBSERVE,LINK,2026-06-14T08:00:00+00:00,2026-06-15T00:00:00+00:00,SHORT,7.899429,8.063288,4,SL,-3.178,-7.95,CLOSED
STF_LINK,STF,DEPLOY,LINK,2026-06-16T20:00:00+00:00,2026-06-24T20:00:00+00:00,SHORT,8.250424,7.301572,48,TP,14.831,37.08,CLOSED
VP_LINK,VP,OBSERVE,LINK,2026-06-16T20:00:00+00:00,2026-06-24T20:00:00+00:00,SHORT,8.250424,7.301572,48,TP,14.831,37.08,CLOSED
STF_BTC,STF,DEPLOY,BTC,2026-06-17T00:00:00+00:00,2026-06-21T20:00:00+00:00,SHORT,65620.308,64149.381154,29,SL,4.854,12.14,CLOSED
STF_BNB,STF,DEPLOY,BNB,2026-06-17T12:00:00+00:00,2026-06-27T12:00:00+00:00,SHORT,603.438914,565.07,60,TIME,7.647,19.12,CLOSED
STF_ETH,STF,DEPLOY,ETH,2026-06-17T16:00:00+00:00,2026-06-22T08:00:00+00:00,SHORT,1772.26816,1739.794426,28,SL,2.636,6.59,CLOSED
STF_SOL,STF,DEPLOY,SOL,2026-06-17T16:00:00+00:00,2026-06-21T00:00:00+00:00,SHORT,73.761865,72.763565,20,SL,1.764,4.41,CLOSED
STF_DOGE,STF,DEPLOY,DOGE,2026-06-17T20:00:00+00:00,2026-06-27T20:00:00+00:00,SHORT,0.085343,0.074478,60,TIME,10.244,25.61,CLOSED
STF_AVAX,STF,DEPLOY,AVAX,2026-06-18T00:00:00+00:00,2026-06-22T12:00:00+00:00,SHORT,6.758172,6.385724,27,SL,5.31,13.27,CLOSED
VP_SUI,VP,OBSERVE,SUI,2026-06-18T00:00:00+00:00,2026-06-28T00:00:00+00:00,SHORT,0.76652,0.68371,60,TIME,5.882,14.71,CLOSED
STF_SUI,STF,DEPLOY,SUI,2026-06-18T04:00:00+00:00,2026-06-28T04:00:00+00:00,SHORT,0.763461,0.68509,60,TIME,5.678,14.2,CLOSED
VP_SOL,VP,OBSERVE,SOL,2026-06-19T08:00:00+00:00,2026-06-20T08:00:00+00:00,SHORT,68.320498,70.25778,6,SL,-3.13,-7.83,CLOSED
VP_ADA,VP,OBSERVE,ADA,2026-06-19T12:00:00+00:00,2026-06-23T08:00:00+00:00,LONG,0.159808,0.151656,23,SL,-3.064,-7.66,CLOSED
VP_XRP,VP,OBSERVE,XRP,2026-06-22T04:00:00+00:00,2026-06-23T08:00:00+00:00,LONG,1.130139,1.096478,7,SL,-3.121,-7.8,CLOSED
VP_BNB,VP,OBSERVE,BNB,2026-06-22T12:00:00+00:00,2026-06-23T04:00:00+00:00,LONG,597.589223,584.885049,4,SL,-3.17,-7.93,CLOSED
STF_SOL,STF,DEPLOY,SOL,2026-06-23T04:00:00+00:00,2026-06-26T16:00:00+00:00,SHORT,71.929415,70.993334,21,SL,1.687,4.22,CLOSED
STF_BTC,STF,DEPLOY,BTC,2026-06-23T12:00:00+00:00,2026-07-02T04:00:00+00:00,SHORT,62463.2554,60930.071761,52,SL,5.252,13.13,CLOSED
STF_ETH,STF,DEPLOY,ETH,2026-06-23T12:00:00+00:00,2026-06-29T20:00:00+00:00,SHORT,1659.00215,1620.40246,38,SL,3.38,8.45,CLOSED
VP_ADA,VP,OBSERVE,ADA,2026-06-24T00:00:00+00:00,2026-06-24T12:00:00+00:00,LONG,0.151355,0.144555,3,SL,-3.077,-7.69,CLOSED
VP_BNB,VP,OBSERVE,BNB,2026-06-24T00:00:00+00:00,2026-06-24T12:00:00+00:00,LONG,577.943331,564.625002,3,SL,-3.156,-7.89,CLOSED
VP_BTC,VP,OBSERVE,BTC,2026-06-24T00:00:00+00:00,2026-06-24T16:00:00+00:00,LONG,62724.8118,61953.944592,4,SL,-3.298,-8.25,CLOSED
VP_XRP,VP,OBSERVE,XRP,2026-06-24T04:00:00+00:00,2026-06-24T12:00:00+00:00,LONG,1.103731,1.071852,2,SL,-3.124,-7.81,CLOSED
VP_AVAX,VP,OBSERVE,AVAX,2026-06-24T08:00:00+00:00,2026-06-27T00:00:00+00:00,SHORT,6.385484,6.577238,16,SL,-3.124,-7.81,CLOSED
VP_ETH,VP,OBSERVE,ETH,2026-06-24T16:00:00+00:00,2026-06-25T08:00:00+00:00,SHORT,1616.91478,1643.612811,4,SL,-3.225,-8.06,CLOSED
STF_AVAX,STF,DEPLOY,AVAX,2026-06-25T00:00:00+00:00,2026-06-27T00:00:00+00:00,SHORT,6.440467,6.639095,12,SL,-3.12,-7.8,CLOSED
VP_ADA,VP,OBSERVE,ADA,2026-06-25T08:00:00+00:00,2026-06-25T12:00:00+00:00,LONG,0.149845,0.142055,1,SL,-3.067,-7.67,CLOSED
VP_BNB,VP,OBSERVE,BNB,2026-06-25T08:00:00+00:00,2026-06-25T12:00:00+00:00,LONG,570.37106,553.722932,1,SL,-3.122,-7.81,CLOSED
VP_SOL,VP,OBSERVE,SOL,2026-06-26T00:00:00+00:00,2026-07-02T04:00:00+00:00,LONG,67.705306,77.563441,37,TP,14.878,37.19,CLOSED
VP_BNB,VP,OBSERVE,BNB,2026-06-27T08:00:00+00:00,2026-06-28T16:00:00+00:00,LONG,565.499599,547.62977,8,SL,-3.113,-7.78,CLOSED
VP_BTC,VP,OBSERVE,BTC,2026-06-27T08:00:00+00:00,2026-06-30T12:00:00+00:00,LONG,60537.1557,59334.404611,19,SL,-3.183,-7.96,CLOSED
VP_DOGE,VP,OBSERVE,DOGE,2026-06-28T08:00:00+00:00,2026-06-30T12:00:00+00:00,LONG,0.073751,0.070829,13,SL,-3.089,-7.72,CLOSED
VP_BNB,VP,OBSERVE,BNB,2026-06-29T08:00:00+00:00,2026-07-01T08:00:00+00:00,LONG,553.405972,538.300144,12,SL,-3.133,-7.83,CLOSED
STF_ETH,STF,DEPLOY,ETH,2026-06-30T16:00:00+00:00,2026-07-01T16:00:00+00:00,SHORT,1563.93068,1595.764959,6,SL,-3.181,-7.95,CLOSED
STF_LINK,STF,DEPLOY,LINK,2026-06-30T16:00:00+00:00,2026-07-01T04:00:00+00:00,SHORT,7.155253,7.292911,3,SL,-3.192,-7.98,CLOSED
