strategy_id,asset,tf,hypothesis,subtest,liq_side,threshold_usd,hold_min,direction_mode,n_trades,win_rate,dollar_per_trade,total_pnl_usd,sharpe,max_dd,p_value,permutation_p,bootstrap_ci_lo,wf_mean,wf_pos_frac,gate_pass,notes
BTC_1m_cascade_5m_continuation,BTC,1m,N1,cascade,ANY,5000000.0,5,continuation,12,0.3333,0.2216,2.66,0.526,-21.6,0.3877,,,,0.0,G2,cascade_5+_60s_5m_continuation
BTC_1m_cascade_5m_reversion,BTC,1m,N1,cascade,ANY,5000000.0,5,reversion,12,0.5833,-0.8216,-9.86,-1.951,-30.92,0.77441,,,,0.0,NONE,cascade_5+_60s_5m_reversion
BTC_1m_cascade_15m_continuation,BTC,1m,N1,cascade,ANY,5000000.0,15,continuation,12,0.3333,-1.9183,-23.02,-3.589,-45.68,0.3877,,,,0.0,NONE,cascade_5+_60s_15m_continuation
BTC_1m_cascade_15m_reversion,BTC,1m,N1,cascade,ANY,5000000.0,15,reversion,12,0.5,1.3183,15.82,2.466,-16.74,1.0,,,,0.0,G2,cascade_5+_60s_15m_reversion
BTC_1m_cascade_30m_continuation,BTC,1m,N1,cascade,ANY,5000000.0,30,continuation,12,0.4167,-3.9493,-47.39,-6.386,-64.45,0.77441,,,,0.0,NONE,cascade_5+_60s_30m_continuation
BTC_1m_cascade_30m_reversion,BTC,1m,N1,cascade,ANY,5000000.0,30,reversion,12,0.5,3.3493,40.19,5.416,-19.16,1.0,,,,0.0,G2,cascade_5+_60s_30m_reversion
BTC_1m_cascade_60m_continuation,BTC,1m,N1,cascade,ANY,5000000.0,60,continuation,12,0.25,-5.1953,-62.34,-8.326,-78.39,0.146,,,,0.0,NONE,cascade_5+_60s_60m_continuation
BTC_1m_cascade_60m_reversion,BTC,1m,N1,cascade,ANY,5000000.0,60,reversion,12,0.6667,4.5953,55.14,7.365,-20.3,0.3877,,,,0.0,G2,cascade_5+_60s_60m_reversion
ETH_1m_liq_long_100k_5m_continuation,ETH,1m,N1,threshold_horizon,LONG,100000.0,5,continuation,9,0.3333,-1.5931,-14.34,-3.562,-21.32,0.50781,,,,0.0,NONE,liq_long_>=$100k_5m_continuation
ETH_1m_liq_long_100k_5m_reversion,ETH,1m,N1,threshold_horizon,LONG,100000.0,5,reversion,9,0.6667,0.9931,8.94,2.221,-17.06,0.50781,,,,0.0,G2,liq_long_>=$100k_5m_reversion
ETH_1m_liq_long_100k_15m_continuation,ETH,1m,N1,threshold_horizon,LONG,100000.0,15,continuation,9,0.4444,-2.3896,-21.51,-4.89,-29.17,1.0,,,,0.0,NONE,liq_long_>=$100k_15m_continuation
ETH_1m_liq_long_100k_15m_reversion,ETH,1m,N1,threshold_horizon,LONG,100000.0,15,reversion,9,0.5556,1.7896,16.11,3.662,-13.46,1.0,,,,0.0,G2,liq_long_>=$100k_15m_reversion
ETH_1m_liq_long_100k_30m_continuation,ETH,1m,N1,threshold_horizon,LONG,100000.0,30,continuation,9,0.3333,-4.9572,-44.61,-7.338,-50.31,0.50781,,,,0.0,NONE,liq_long_>=$100k_30m_continuation
ETH_1m_liq_long_100k_30m_reversion,ETH,1m,N1,threshold_horizon,LONG,100000.0,30,reversion,9,0.5556,4.3572,39.21,6.449,-4.78,1.0,,,,0.0,G2,liq_long_>=$100k_30m_reversion
ETH_1m_liq_long_100k_60m_continuation,ETH,1m,N1,threshold_horizon,LONG,100000.0,60,continuation,9,0.2222,-7.098,-63.88,-11.96,-67.86,0.17969,,,,0.0,NONE,liq_long_>=$100k_60m_continuation
ETH_1m_liq_long_100k_60m_reversion,ETH,1m,N1,threshold_horizon,LONG,100000.0,60,reversion,9,0.7778,6.498,58.48,10.949,-1.22,0.17969,,,,0.0,G2,liq_long_>=$100k_60m_reversion
ETH_1m_liq_long_250k_5m_continuation,ETH,1m,N1,threshold_horizon,LONG,250000.0,5,continuation,9,0.3333,-1.5931,-14.34,-3.562,-21.32,0.50781,,,,0.0,NONE,liq_long_>=$250k_5m_continuation
ETH_1m_liq_long_250k_5m_reversion,ETH,1m,N1,threshold_horizon,LONG,250000.0,5,reversion,9,0.6667,0.9931,8.94,2.221,-17.06,0.50781,,,,0.0,G2,liq_long_>=$250k_5m_reversion
ETH_1m_liq_long_250k_15m_continuation,ETH,1m,N1,threshold_horizon,LONG,250000.0,15,continuation,9,0.4444,-2.3896,-21.51,-4.89,-29.17,1.0,,,,0.0,NONE,liq_long_>=$250k_15m_continuation
ETH_1m_liq_long_250k_15m_reversion,ETH,1m,N1,threshold_horizon,LONG,250000.0,15,reversion,9,0.5556,1.7896,16.11,3.662,-13.46,1.0,,,,0.0,G2,liq_long_>=$250k_15m_reversion
ETH_1m_liq_long_250k_30m_continuation,ETH,1m,N1,threshold_horizon,LONG,250000.0,30,continuation,9,0.3333,-4.9572,-44.61,-7.338,-50.31,0.50781,,,,0.0,NONE,liq_long_>=$250k_30m_continuation
ETH_1m_liq_long_250k_30m_reversion,ETH,1m,N1,threshold_horizon,LONG,250000.0,30,reversion,9,0.5556,4.3572,39.21,6.449,-4.78,1.0,,,,0.0,G2,liq_long_>=$250k_30m_reversion
ETH_1m_liq_long_250k_60m_continuation,ETH,1m,N1,threshold_horizon,LONG,250000.0,60,continuation,9,0.2222,-7.098,-63.88,-11.96,-67.86,0.17969,,,,0.0,NONE,liq_long_>=$250k_60m_continuation
