slug,ws_s,outcome_truth,current_px,trend_align,v_trend,v_levels,v_momentum,p_up_levels,score_momentum,mom_imb_l5,mom_cvd_norm,mom_aggressor,bb_position,rsi14,fired,skip_reason,direction,stake_usd,vwap_entry,shares,hit_levels,underfilled,won,pnl_usd,balance_cum_usd
eth-updown-5m-1778352300,1778352000,Down,2331.68,2,1,0,1,0.35452422650322185,0.5596184445396405,0.6478110665491013,0.0016467263999999998,1.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1778352600,1778352300,Down,2329.95,1,1,0,0,0.43531815528314044,0.04060922539755801,-0.6596263096061048,0.014865830799999999,1.0,no_data,,False,abstention_1_of_2,,,,,,,,,
eth-updown-5m-1778352900,1778352600,Up,2330.23,1,1,0,-1,0.4222416812609479,-0.15549148621023184,-0.3887287155255796,0.0,0.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1778353200,1778352900,Down,2329.47,1,1,0,0,0.45773496789259827,-0.023187944743239364,-0.05796986185809841,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
eth-updown-5m-1778353500,1778353200,Up,2330.31,1,1,0,0,0.4185055458260418,0.023402416184604043,0.0556541839415101,0.0038024753600000003,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
eth-updown-5m-1778353800,1778353500,Down,2330.09,1,1,0,0,0.42877991827203354,-0.05271767723355191,-0.13179419308387977,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
eth-updown-5m-1778354100,1778353800,Down,2330.46,1,1,0,-1,0.41150029188558224,-0.23983714844695636,-0.5995928711173909,0.0,0.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1778354400,1778354100,Down,2328.92,1,1,0,0,0.4834208990075883,0.02726464487314711,0.06816161218286777,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
eth-updown-5m-1778354700,1778354400,Up,2328.83,1,1,0,0,0.48762405137186826,-0.024348998635422406,-0.06099014356855601,0.00015686264,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
eth-updown-5m-1778355000,1778354700,Down,2327.51,1,1,0,-1,0.5492702860478613,-0.17774370216835367,-0.44651925542088416,0.00288,0.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1778355300,1778355000,Down,2328.15,3,1,0,0,0.5193812025685913,0.052259464367834074,0.13064866091958519,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
eth-updown-5m-1778355600,1778355300,Up,2327.82,3,1,0,0,0.5347927612375896,0.09896577984501354,-0.504100844327466,0.0020203919199999996,1.0,no_data,,False,abstention_1_of_2,,,,,,,,,
eth-updown-5m-1778355900,1778355600,Up,2327.63,3,1,0,-1,0.5436660828955021,-0.1555570229889374,-0.38889255747234347,0.0,0.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1778356200,1778355900,Up,2327.45,3,1,0,1,0.5520723876240621,0.15631084273874746,-0.36124030477313135,0.0026898821599999996,1.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1778356500,1778356200,Up,2330.81,3,1,0,0,0.3951546993578575,-0.03535185340777118,-0.08837963351942794,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
eth-updown-5m-1778356800,1778356500,Down,2331.98,3,1,-1,0,0.34051371862230273,-0.07458873425759859,-0.18647183564399647,0.0,0.0,no_data,,False,conflict_pos1_neg1,,,,,,,,,
eth-updown-5m-1778357100,1778356800,Down,2332.44,3,1,-1,1,0.3190309398715715,0.15772196855667073,0.3943049213916768,0.0,0.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1778357400,1778357100,Down,2329.29,3,1,0,0,0.46614127262113697,0.03835190448686095,0.09587976121715236,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
eth-updown-5m-1778357700,1778357400,Up,2328.99,3,1,0,0,0.4801517805020561,0.11457268129619469,0.2864317032404867,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
eth-updown-5m-1778358000,1778357700,Down,2329.69,3,1,0,0,0.4474605954465853,0.01710814557580434,0.04277036393951085,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
eth-updown-5m-1778358300,1778358000,Up,2329.03,3,1,0,1,0.47828371278458176,0.19587257546053854,-0.2606785613486536,0.00048,1.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1778358600,1778358300,Down,2328.75,3,1,0,1,0.49136018680677435,0.15772871111797043,0.39374037779492604,0.0007752,0.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1778358900,1778358600,Up,2328.68,3,1,0,-1,0.4946293053123278,-0.16884121545870878,-0.42336303864677194,0.00168,0.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1778359200,1778358900,Up,2328.17,3,1,0,0,0.5184471687098647,0.078959864504338,0.19739966126084502,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
eth-updown-5m-1778359500,1778359200,Down,2329.56,3,1,0,-1,0.4535318155283183,-0.21064454449655742,-0.5266113612413935,0.0,0.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1778359800,1778359500,Up,2328.71,3,1,1,0,0.736071765816805,0.06203026122282573,0.15507565305706433,0.0,0.0,no_data,,True,,Up,25.0,0.82,30.48780487804878,1.0,False,True,5.378048780487806,-304.3495680326813
eth-updown-5m-1778360100,1778359800,Down,2329.56,3,1,1,0,0.671860245514641,-0.0044218758676476,-0.011054689669119,0.0,0.0,no_data,,True,,Up,25.0,0.84,29.761904761904763,1.0,False,False,-25.0,-329.3495680326813
eth-updown-5m-1778360400,1778360100,Up,2330.03,3,1,0,0,0.6363550519357742,-0.07948624233966779,-0.19871560584916947,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
eth-updown-5m-1778360700,1778360400,Up,2329.48,3,1,1,1,0.6779036827195457,0.17884428684232875,0.44651071710582185,0.0008,0.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1778361000,1778360700,Down,2330.64,3,1,0,0,0.5902738432483586,-0.09534063864557496,-0.23835159661393737,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
eth-updown-5m-1778361300,1778361000,Up,2330.64,3,1,0,0,0.5902738432483586,-0.018504534225244586,-0.04626133556311146,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
eth-updown-5m-1778361600,1778361300,Down,2331.19,3,1,0,0,0.5487252124645872,0.05138851244266676,0.1284712811066669,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
