rule,side,asset,tf,fire_offset_s,n,wins,WR,sum_pnl,per_trade,ha_n,ha_WR,ha_per_trade,ha_sum,lm_n,lm_WR,lm_per_trade,lm_sum,edge_vs_HA_per_trade,edge_vs_LM_per_trade,additive_per_trade
XF-A,UP,BTC,5m,30,21,17,0.8095238095238095,131.78216561741388,6.275341219876852,2580,0.5941860465116279,0.1764883720930232,455.34,572,0.6993006993006994,1.1730857958724723,671.0050752390542,6.098852847783829,5.10225542400438,False
XF-A,DN,BTC,5m,30,20,14,0.7,173.2570409818114,8.66285204909057,2580,0.5941860465116279,0.1764883720930232,455.34,572,0.6993006993006994,1.1730857958724723,671.0050752390542,8.486363676997547,7.489766253218098,False
XF-A,BOTH,BTC,5m,30,41,31,0.7560975609756098,305.0392065992253,7.439980648761592,2580,0.5941860465116279,0.1764883720930232,455.34,572,0.6993006993006994,1.1730857958724723,671.0050752390542,7.263492276668569,6.26689485288912,False
XF-A,UP,BTC,5m,60,18,15,0.8333333333333334,199.13316033536915,11.062953351964952,2490,0.6526104417670683,0.2921686746987952,727.5,377,0.7002652519893899,0.4210976497535537,158.75381395708976,10.770784677266157,10.641855702211398,False
XF-A,DN,BTC,5m,60,27,15,0.5555555555555556,-94.05159902196068,-3.483392556368914,2490,0.6526104417670683,0.2921686746987952,727.5,377,0.7002652519893899,0.4210976497535537,158.75381395708976,-3.775561231067709,-3.9044902061224676,False
XF-A,BOTH,BTC,5m,60,45,30,0.6666666666666666,105.08156131340849,2.335145806964633,2490,0.6526104417670683,0.2921686746987952,727.5,377,0.7002652519893899,0.4210976497535537,158.75381395708976,2.042977132265838,1.9140481572110795,False
XF-A,UP,BTC,5m,90,20,17,0.85,274.6937826509208,13.73468913254604,2453,0.7003668976763148,0.3867264573991031,948.64,414,0.6376811594202898,-2.5651774588517844,-1061.9834679646387,13.347962675146936,16.299866591397823,False
XF-A,DN,BTC,5m,90,18,12,0.6666666666666666,101.87657789119272,5.65980988284404,2453,0.7003668976763148,0.3867264573991031,948.64,414,0.6376811594202898,-2.5651774588517844,-1061.9834679646387,5.273083425444937,8.224987341695824,False
XF-A,BOTH,BTC,5m,90,38,29,0.7631578947368421,376.5703605421135,9.909746330055617,2453,0.7003668976763148,0.3867264573991031,948.64,414,0.6376811594202898,-2.5651774588517844,-1061.9834679646387,9.523019872656514,12.4749237889074,False
XF-A,UP,BTC,5m,120,4,4,1.0,65.80598586002691,16.451496465006727,2482,0.7292506043513296,0.4439161966156326,1101.8000000000002,341,0.7155425219941349,1.0208228234740708,348.1005828046582,16.007580268391095,15.430673641532657,False
XF-A,DN,BTC,5m,120,19,18,0.9473684210526316,673.0345374712697,35.42287039322472,2482,0.7292506043513296,0.4439161966156326,1101.8000000000002,341,0.7155425219941349,1.0208228234740708,348.1005828046582,34.97895419660909,34.40204756975065,False
XF-A,BOTH,BTC,5m,120,23,22,0.9565217391304348,738.8405233312966,32.1235010144042,2482,0.7292506043513296,0.4439161966156326,1101.8000000000002,341,0.7155425219941349,1.0208228234740708,348.1005828046582,31.679584817788566,31.102678190930128,False
XF-A,UP,BTC,5m,150,23,15,0.6521739130434783,21.24573783407845,0.9237277319164544,2504,0.7575878594249201,0.5000239616613418,1252.06,399,0.68671679197995,-0.5657151014908308,-225.72032549484152,0.42370377025511263,1.4894428334072853,False
XF-A,DN,BTC,5m,150,20,14,0.7,-22.22196851726609,-1.1110984258633043,2504,0.7575878594249201,0.5000239616613418,1252.06,399,0.68671679197995,-0.5657151014908308,-225.72032549484152,-1.611122387524646,-0.5453833243724735,False
XF-A,BOTH,BTC,5m,150,43,29,0.6744186046511628,-0.9762306831876656,-0.0227030391438992,2504,0.7575878594249201,0.5000239616613418,1252.06,399,0.68671679197995,-0.5657151014908308,-225.72032549484152,-0.5227270008052409,0.5430120623469317,False
XF-A,UP,BTC,5m,180,16,11,0.6875,-22.42535033044585,-1.4015843956528655,2541,0.7642660369933097,0.5132467532467533,1304.16,302,0.7218543046357617,-0.5746394895411616,-173.5411258414308,-1.9148311488996188,-0.8269449061117039,False
XF-A,DN,BTC,5m,180,12,8,0.6666666666666666,-49.90121199571499,-4.158434332976249,2541,0.7642660369933097,0.5132467532467533,1304.16,302,0.7218543046357617,-0.5746394895411616,-173.5411258414308,-4.6716810862230025,-3.5837948434350873,False
