sleeve_a,sleeve_b,n_a,n_b,jaccard_fire,jaccard_slug,inter_fires,union_fires,inter_slugs,union_slugs,cov_smaller
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,SOL_5M_V7_S4_CCI_F7_OVERSOLD_MFI_STOCH,258,673,0.0,0.0,0,931,0,794,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,SOL_5M_V7_S5_CCI_F7_OVERSOLD_MFI_STOCH_LIGHT,258,725,0.0,0.0,0,983,0,825,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,212,212,1.0,1.0,212,212,212,212,1.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,BTC_15M_TS_TRSTACK_OFF600_DOWN_V5,212,198,0.0,0.009852216748768473,0,410,4,406,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,BTC_5M_TS_MPSKEW_ANY_OFFSET30_V5,212,144,0.0,0.0,0,356,0,356,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,BTC_5M_TS_MPSKEW_S6_0_60_V5,212,144,0.0,0.0,0,356,0,356,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,ETH_15M_TRSTACK_VWAP_OFFEARLY_V5,212,467,0.0,0.0,0,679,0,679,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,ETH_15M_TRSTACK_VWAP_VOL_OFFEARLY_V5,212,107,0.0,0.0,0,319,0,319,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,ETH_5M_CLOUD_MP_SMS_ACTIVE_OFF120_V5,212,124,0.0,0.0,0,336,0,336,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,ETH_5M_TR200_MP_MPNX_SMS_OFF120_V5,212,16,0.0,0.0,0,228,0,228,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,ETH_5M_TR200_MP_SMS_ACTIVE_OFF120_V5,212,120,0.0,0.0,0,332,0,332,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,SOL_15M_RFAGED_TRSTACK_LATE_V5,212,297,0.0,0.0,0,509,0,495,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,SOL_15M_TRSTACK_VOL_RIBBON_EMA_MID_V5,212,103,0.0,0.0,0,315,0,301,0.0
