n_thr,flow_thr,sa_thr,asz_thr,off_thr,n,wr_follow,mean_follow,sum_follow,wr_fade,mean_fade,sum_fade
10,0.3,1.02,100,270,141,0.7092198581560284,0.16824040319137548,23.721896849983942,0.2907801418439716,0.1716427806858921,24.201632076710784
10,0.3,1.02,500,60,167,0.47904191616766467,-0.14661656654020447,-24.484966612214148,0.5209580838323353,0.43436402237747473,72.53879173703828
10,0.3,1.02,500,120,104,0.6826923076923077,0.23117958177046943,24.04267650412882,0.3173076923076923,-0.04297392844799971,-4.46928855859197
10,0.3,1.02,500,240,43,0.6976744186046512,0.558193266627222,24.00231046497055,0.3023255813953488,0.11261509854258618,4.842449237331206
10,0.3,1.02,500,270,35,0.7428571428571429,0.7817190344608155,27.360166206128543,0.2571428571428571,0.08840570843826287,3.0941997953392004
10,0.3,1.02,1000,60,37,0.6486486486486487,-0.1888584954392331,-6.9877643312516255,0.35135135135135137,0.490904641964003,18.163471752668112
10,0.3,1.02,1000,120,34,0.7058823529411765,-0.11475483335555317,-3.901664334088808,0.29411764705882354,0.4198399928044496,14.274559755351287
10,0.5,1.005,100,60,5736,0.5589260808926081,-0.17074110187335012,-979.3709603455363,0.4410739191073919,0.456368376919343,2617.7290100093514
10,0.5,1.005,100,120,4504,0.577708703374778,-0.16811050523439722,-757.169715575725,0.422291296625222,0.4660861060165534,2099.2518214985566
10,0.5,1.005,100,240,1209,0.5508684863523573,-0.22650002985324488,-273.83853609257307,0.4491315136476427,1.3929307958817894,1684.0533322210833
10,0.5,1.005,100,270,558,0.600358422939068,-0.13599636266143128,-75.88597036507865,0.3996415770609319,1.221282035377863,681.4753757408475
10,0.5,1.005,500,60,2111,0.5684509711037423,-0.15815882962776864,-333.8732893442196,0.4315490288962577,0.5021662332815873,1060.0729184574307
10,0.5,1.005,500,120,1656,0.6099033816425121,-0.1339540810098999,-221.82795815239422,0.39009661835748793,0.448044181656028,741.9611648223823
10,0.5,1.005,500,240,334,0.6017964071856288,-0.14717762705193935,-49.157327435347746,0.39820359281437123,1.6857756148485254,563.0490553594075
10,0.5,1.005,500,270,156,0.7243589743589743,0.07376738005079642,11.507711287924241,0.27564102564102566,1.706474947241886,266.2100917697342
10,0.5,1.005,1000,60,516,0.6414728682170543,-0.09563636814884711,-49.34836596480511,0.35852713178294576,0.7296212384518673,376.48455904116355
10,0.5,1.005,1000,120,413,0.6755447941888619,-0.1443080760030136,-59.59923538924461,0.324455205811138,0.8523570190949059,352.02344888619615
10,0.5,1.005,1000,240,111,0.6666666666666666,-0.284311796788936,-31.558609443571893,0.3333333333333333,3.6561431422274793,405.8318887872502
10,0.5,1.005,1000,270,64,0.671875,-0.2927479934129299,-18.735871578427513,0.328125,4.443348135443987,284.37428066841517
10,0.5,1.01,100,60,2846,0.5790583274771609,-0.18763590646259828,-534.0117897925547,0.4209416725228391,0.5046452414334227,1436.220357119521
10,0.5,1.01,100,120,2333,0.5957993999142734,-0.19666314395569962,-458.8151148486472,0.40420060008572656,0.5178537752211758,1208.152857591003
10,0.5,1.01,100,240,716,0.5600558659217877,-0.24727809672507384,-177.05111725515286,0.4399441340782123,1.690503440477542,1210.4004633819202
10,0.5,1.01,100,270,281,0.6227758007117438,-0.1420030660383633,-39.90286155678009,0.37722419928825623,1.8321336319496255,514.8295505778448
10,0.5,1.01,500,60,1066,0.6632270168855535,-0.05798420480237407,-61.811162319330755,0.33677298311444653,0.196983045679635,209.98392669449092
10,0.5,1.01,500,120,878,0.7038724373576309,-0.05056391963212877,-44.39512143700906,0.296127562642369,0.1234786134233046,108.41422258566143
10,0.5,1.01,500,240,198,0.7121212121212122,-0.027157029234880017,-5.3770917885062435,0.2878787878787879,1.5655357779638497,309.9760840368422
10,0.5,1.01,500,270,99,0.7878787878787878,0.1619272214830433,16.030794926821287,0.21212121212121213,2.4391608630174764,241.47692543873018
10,0.5,1.01,1000,60,280,0.6464285714285715,-0.18265513044798593,-51.14343652543606,0.3535714285714286,1.243010216898036,348.04286073145005
10,0.5,1.01,1000,120,249,0.6506024096385542,-0.25273860979941043,-62.9319138400532,0.3493975903614458,1.3548399651757712,337.355151328767
10,0.5,1.01,1000,240,88,0.7159090909090909,-0.2535740168536854,-22.314513483124315,0.2840909090909091,4.0923249419275916,360.12459488962804
10,0.5,1.01,1000,270,56,0.6964285714285714,-0.2805669767741431,-15.711750699352013,0.30357142857142855,4.693762014799953,262.85067282879737
10,0.5,1.02,100,60,748,0.36764705882352944,-0.4660010852735676,-348.56881178462856,0.6323529411764706,0.6671620749041913,499.0372320283351
10,0.5,1.02,100,120,585,0.39829059829059826,-0.42854818395308936,-250.7006876125573,0.6017094017094017,0.6272765550330237,366.95678469431886
10,0.5,1.02,100,240,183,0.5846994535519126,-0.10509975095302365,-19.233254424403327,0.41530054644808745,0.6348481699254125,116.1772150963505
10,0.5,1.02,100,270,115,0.7043478260869566,0.16520481367548576,18.998553572680862,0.2956521739130435,0.30627248415815045,35.2213356781873
10,0.5,1.02,500,60,144,0.4722222222222222,-0.13693980464167702,-19.71933186840149,0.5277777777777778,0.5174326775785647,74.51030557131331
10,0.5,1.02,500,120,88,0.6818181818181818,0.26971671397225533,23.73507082955847,0.3181818181818182,0.055626162387655186,4.895102290113656
10,0.5,1.02,500,240,36,0.6666666666666666,0.6373911796111512,22.946082466001442,0.3333333333333333,0.29207236146238696,10.51460501264593
